Country,Region/State,Zip/Postal Code,Order Subtotal (and above),Shipping Price
US,MA,1705,1,14
US,MA,1718,1,14
US,MA,1719,1,14
US,MA,1720,1,14
US,MA,1721,1,14
US,MA,1730,1,14
US,MA,1731,1,14
US,MA,1740,1,14
US,MA,1741,1,14
US,MA,1742,1,14
US,MA,1745,1,14
US,MA,1746,1,14
US,MA,1747,1,14
US,MA,1748,1,14
US,MA,1749,1,14
US,MA,1752,1,14
US,MA,1754,1,14
US,MA,1756,1,14
US,MA,1757,1,14
US,MA,1760,1,14
US,MA,1770,1,14
US,MA,1772,1,14
US,MA,1773,1,14
US,MA,1775,1,14
US,MA,1776,1,14
US,MA,1778,1,14
US,MA,1784,1,14
US,MA,1801,1,14
US,MA,1803,1,14
US,MA,1805,1,14
US,MA,1810,1,14
US,MA,1812,1,14
US,MA,1813,1,14
US,MA,1815,1,14
US,MA,1821,1,14
US,MA,1822,1,14
US,MA,1824,1,14
US,MA,1826,1,14
US,MA,1827,1,14
US,MA,1830,1,14
US,MA,1831,1,14
US,MA,1832,1,14
US,MA,1833,1,14
US,MA,1834,1,14
US,MA,1835,1,14
US,MA,1840,1,14
US,MA,1841,1,14
US,MA,1842,1,14
US,MA,1843,1,14
US,MA,1844,1,14
US,MA,1845,1,14
US,MA,1850,1,14
US,MA,1851,1,14
US,MA,1852,1,14
US,MA,1853,1,14
US,MA,1854,1,14
US,MA,1860,1,14
US,MA,1862,1,14
US,MA,1863,1,14
US,MA,1864,1,14
US,MA,1865,1,14
US,MA,1866,1,14
US,MA,1867,1,14
US,MA,1876,1,14
US,MA,1879,1,14
US,MA,1880,1,14
US,MA,1885,1,14
US,MA,1886,1,14
US,MA,1887,1,14
US,MA,1888,1,14
US,MA,1889,1,14
US,MA,1890,1,14
US,MA,1899,1,14
US,MA,1901,1,14
US,MA,1902,1,14
US,MA,1903,1,14
US,MA,1904,1,14
US,MA,1905,1,14
US,MA,1906,1,14
US,MA,1907,1,14
US,MA,1908,1,14
US,MA,1910,1,14
US,MA,1913,1,14
US,MA,1915,1,14
US,MA,1921,1,14
US,MA,1922,1,14
US,MA,1923,1,14
US,MA,1929,1,14
US,MA,1930,1,14
US,MA,1931,1,14
US,MA,1936,1,14
US,MA,1937,1,14
US,MA,1938,1,14
US,MA,1940,1,14
US,MA,1944,1,14
US,MA,1945,1,14
US,MA,1949,1,14
US,MA,1950,1,14
US,MA,1951,1,14
US,MA,1952,1,14
US,MA,1960,1,14
US,MA,1961,1,14
US,MA,1965,1,14
US,MA,1966,1,14
US,MA,1969,1,14
US,MA,1970,1,14
US,MA,1971,1,14
US,MA,1982,1,14
US,MA,1983,1,14
US,MA,1984,1,14
US,MA,1985,1,14
US,MA,2018,1,14
US,MA,2019,1,14
US,MA,2020,1,14
US,MA,2021,1,14
US,MA,2025,1,14
US,MA,2026,1,14
US,MA,2027,1,14
US,MA,2030,1,14
US,MA,2032,1,14
US,MA,2035,1,14
US,MA,2038,1,14
US,MA,2040,1,14
US,MA,2041,1,14
US,MA,2043,1,14
US,MA,2044,1,14
US,MA,2045,1,14
US,MA,2047,1,14
US,MA,2048,1,14
US,MA,2050,1,14
US,MA,2051,1,14
US,MA,2052,1,14
US,MA,2053,1,14
US,MA,2054,1,14
US,MA,2055,1,14
US,MA,2056,1,14
US,MA,2059,1,14
US,MA,2060,1,14
US,MA,2061,1,14
US,MA,2062,1,14
US,MA,2065,1,14
US,MA,2066,1,14
US,MA,2067,1,14
US,MA,2070,1,14
US,MA,2071,1,14
US,MA,2072,1,14
US,MA,2081,1,14
US,MA,2090,1,14
US,MA,2093,1,14
US,MA,2108,1,14
US,MA,2109,1,14
US,MA,2110,1,14
US,MA,2111,1,14
US,MA,2112,1,14
US,MA,2113,1,14
US,MA,2114,1,14
US,MA,2115,1,14
US,MA,2116,1,14
US,MA,2117,1,14
US,MA,2118,1,14
US,MA,2119,1,14
US,MA,2120,1,14
US,MA,2121,1,14
US,MA,2122,1,14
US,MA,2123,1,14
US,MA,2124,1,14
US,MA,2125,1,14
US,MA,2126,1,14
US,MA,2127,1,14
US,MA,2128,1,14
US,MA,2129,1,14
US,MA,2130,1,14
US,MA,2131,1,14
US,MA,2132,1,14
US,MA,2133,1,14
US,MA,2134,1,14
US,MA,2135,1,14
US,MA,2136,1,14
US,MA,2137,1,14
US,MA,2138,1,14
US,MA,2139,1,14
US,MA,2140,1,14
US,MA,2141,1,14
US,MA,2142,1,14
US,MA,2143,1,14
US,MA,2144,1,14
US,MA,2145,1,14
US,MA,2148,1,14
US,MA,2149,1,14
US,MA,2150,1,14
US,MA,2151,1,14
US,MA,2152,1,14
US,MA,2153,1,14
US,MA,2155,1,14
US,MA,2156,1,14
US,MA,2163,1,14
US,MA,2169,1,14
US,MA,2170,1,14
US,MA,2171,1,14
US,MA,2176,1,14
US,MA,2180,1,14
US,MA,2184,1,14
US,MA,2185,1,14
US,MA,2186,1,14
US,MA,2187,1,14
US,MA,2188,1,14
US,MA,2189,1,14
US,MA,2190,1,14
US,MA,2191,1,14
US,MA,2196,1,14
US,MA,2199,1,14
US,MA,2201,1,14
US,MA,2203,1,14
US,MA,2204,1,14
US,MA,2205,1,14
US,MA,2206,1,14
US,MA,2210,1,14
US,MA,2211,1,14
US,MA,2212,1,14
US,MA,2215,1,14
US,MA,2217,1,14
US,MA,2222,1,14
US,MA,2228,1,14
US,MA,2238,1,14
US,MA,2241,1,14
US,MA,2266,1,14
US,MA,2269,1,14
US,MA,2283,1,14
US,MA,2284,1,14
US,MA,2293,1,14
US,MA,2297,1,14
US,MA,2298,1,14
US,MA,2301,1,14
US,MA,2302,1,14
US,MA,2303,1,14
US,MA,2304,1,14
US,MA,2305,1,14
US,MA,2322,1,14
US,MA,2324,1,14
US,MA,2325,1,14
US,MA,2327,1,14
US,MA,2330,1,14
US,MA,2331,1,14
US,MA,2332,1,14
US,MA,2333,1,14
US,MA,2334,1,14
US,MA,2337,1,14
US,MA,2338,1,14
US,MA,2339,1,14
US,MA,2340,1,14
US,MA,2341,1,14
US,MA,2343,1,14
US,MA,2344,1,14
US,MA,2345,1,14
US,MA,2346,1,14
US,MA,2347,1,14
US,MA,2348,1,14
US,MA,2349,1,14
US,MA,2350,1,14
US,MA,2351,1,14
US,MA,2355,1,14
US,MA,2356,1,14
US,MA,2357,1,14
US,MA,2358,1,14
US,MA,2359,1,14
US,MA,2360,1,14
US,MA,2361,1,14
US,MA,2362,1,14
US,MA,2364,1,14
US,MA,2366,1,14
US,MA,2367,1,14
US,MA,2368,1,14
US,MA,2370,1,14
US,MA,2375,1,14
US,MA,2379,1,14
US,MA,2381,1,14
US,MA,2382,1,14
US,MA,2420,1,14
US,MA,2421,1,14
US,MA,2445,1,14
US,MA,2446,1,14
US,MA,2447,1,14
US,MA,2451,1,14
US,MA,2452,1,14
US,MA,2453,1,14
US,MA,2454,1,14
US,MA,2455,1,14
US,MA,2456,1,14
US,MA,2457,1,14
US,MA,2458,1,14
US,MA,2459,1,14
US,MA,2460,1,14
US,MA,2461,1,14
US,MA,2462,1,14
US,MA,2464,1,14
US,MA,2465,1,14
US,MA,2466,1,14
US,MA,2467,1,14
US,MA,2468,1,14
US,MA,2471,1,14
US,MA,2472,1,14
US,MA,2474,1,14
US,MA,2475,1,14
US,MA,2476,1,14
US,MA,2477,1,14
US,MA,2478,1,14
US,MA,2479,1,14
US,MA,2481,1,14
US,MA,2482,1,14
US,MA,2492,1,14
US,MA,2493,1,14
US,MA,2494,1,14
US,MA,2495,1,14
US,MA,2532,1,15
US,MA,2534,1,15
US,MA,2535,1,15
US,MA,2536,1,15
US,MA,2537,1,15
US,MA,2538,1,15
US,MA,2539,1,15
US,MA,2540,1,15
US,MA,2541,1,15
US,MA,2542,1,15
US,MA,2543,1,15
US,MA,2552,1,15
US,MA,2553,1,15
US,MA,2554,1,15
US,MA,2556,1,15
US,MA,2557,1,15
US,MA,2558,1,15
US,MA,2559,1,15
US,MA,2561,1,15
US,MA,2562,1,15
US,MA,2563,1,15
US,MA,2564,1,15
US,MA,2565,1,15
US,MA,2568,1,15
US,MA,2571,1,15
US,MA,2573,1,15
